country	date	detected	healed	Hospitalizados	UCI	deceased
IB	20.02.20	1				
CN	20.02.20	1				
IB	21.02.20	1				
CN	21.02.20	1				
IB	22.02.20	1				
CN	22.02.20	1				
IB	23.02.20	1				
CN	23.02.20	1				
IB	24.02.20	1				
CN	24.02.20	2				
IB	25.02.20	1				
CN	25.02.20	5				
CT	25.02.20	1				
VC	25.02.20	1				
MD	25.02.20	2				
AN	26.02.20	1				
IB	26.02.20	1				
CN	26.02.20	6				
CT	26.02.20	2				
VC	26.02.20	2				
MD	26.02.20	4				
AN	27.02.20	6				
IB	27.02.20	1				
CN	27.02.20	6				
CT	27.02.20	3				
VC	27.02.20	8				
MD	27.02.20	5				
AN	28.02.20	8				
IB	28.02.20	2				
CN	28.02.20	6				
CL	28.02.20	2				
CT	28.02.20	5				
VC	28.02.20	10				
MD	28.02.20	8				
PV	28.02.20	2				
AN	29.02.20	12				
AS	29.02.20	1				
IB	29.02.20	2				
CN	29.02.20	7				
CB	29.02.20	1				
CM	29.02.20	1				
CL	29.02.20	2				
CT	29.02.20	6				
VC	29.02.20	15				
EX	29.02.20	4				
MD	29.02.20	10				
NC	29.02.20	1				
PV	29.02.20	3				
AN	01.03.20	12				
AS	01.03.20	1				
IB	01.03.20	2				
CN	01.03.20	7				
CB	01.03.20	10				
CM	01.03.20	3				
CL	01.03.20	2				
CT	01.03.20	15				
VC	01.03.20	15				
EX	01.03.20	6				
MD	01.03.20	29				
NC	01.03.20	1				
PV	01.03.20	9				
RI	01.03.20	1				
AN	02.03.20	12				
AS	02.03.20	1				
IB	02.03.20	2				
CN	02.03.20	7				
CB	02.03.20	10				
CM	02.03.20	7				
CL	02.03.20	7				
CT	02.03.20	15				
VC	02.03.20	15				
EX	02.03.20	6				
MD	02.03.20	49				
NC	02.03.20	1				
PV	02.03.20	13				
RI	02.03.20	3				
AN	03.03.20	12				
AS	03.03.20	2				
IB	03.03.20	5				
CN	03.03.20	7				
CB	03.03.20	10				
CM	03.03.20	12				
CL	03.03.20	8				
CT	03.03.20	15				
VC	03.03.20	19				
EX	03.03.20	6				
GA	03.03.20	1				
MD	03.03.20	70				
NC	03.03.20	3				
PV	03.03.20	17				
RI	03.03.20	7				
AN	04.03.20	12				
AR	04.03.20	1				
AS	04.03.20	5				
IB	04.03.20	6				
CN	04.03.20	8				
CB	04.03.20	10				
CM	04.03.20	13				
CL	04.03.20	12				
CT	04.03.20	24				
VC	04.03.20	19				
EX	04.03.20	6				
GA	04.03.20	1				
MD	04.03.20	90				
NC	04.03.20	3				
PV	04.03.20	17				
RI	04.03.20	11				
AN	05.03.20	21				
AR	05.03.20	6				
AS	05.03.20	5				
IB	05.03.20	6				
CN	05.03.20	11				
CB	05.03.20	10				
CM	05.03.20	15				
CL	05.03.20	13				
CT	05.03.20	24				
VC	05.03.20	30				
EX	05.03.20	6				
GA	05.03.20	3				
MD	05.03.20	137				
NC	05.03.20	3				
PV	05.03.20	45				
RI	05.03.20	29				
AN	06.03.20	27				
AR	06.03.20	11				
AS	06.03.20	5				
IB	06.03.20	6				
CN	06.03.20	11				
CB	06.03.20	10				
CM	06.03.20	15				
CL	06.03.20	14				
CT	06.03.20	24				
VC	06.03.20	30				
EX	06.03.20	6				
GA	06.03.20	3				
MD	06.03.20	137				
NC	06.03.20	3				
PV	06.03.20	45				
RI	06.03.20	39				
AN	07.03.20	34				
AR	07.03.20	11				
AS	07.03.20	7				
IB	07.03.20	8				
CN	07.03.20	17				
CB	07.03.20	12				
CM	07.03.20	15				
CL	07.03.20	21				
CT	07.03.20	49				
VC	07.03.20	37				
EX	07.03.20	6				
GA	07.03.20	5				
MD	07.03.20	175				
MC	07.03.20	1				
NC	07.03.20	3				
PV	07.03.20	70				
RI	07.03.20	55				
AN	08.03.20	54			1	0
AR	08.03.20	13			3	3
AS	08.03.20	7			2	0
IB	08.03.20	11			1	0
CN	08.03.20	22			0	0
CB	08.03.20	12			0	0
CM	08.03.20	26			2	0
CL	08.03.20	30			2	0
CT	08.03.20	75			0	2
VC	08.03.20	37			1	1
EX	08.03.20	7			0	0
GA	08.03.20	6			2	0
MD	08.03.20	469			53	16
MC	08.03.20	4			0	0
NC	08.03.20	3			1	0
PV	08.03.20	149			5	6
RI	08.03.20	81			1	0
AN	09.03.20	71			1	0
AR	09.03.20	38			3	4
AS	09.03.20	22			2	0
IB	09.03.20	13			1	0
CN	09.03.20	25			1	0
CB	09.03.20	12			0	0
CM	09.03.20	39			3	0
CL	09.03.20	40			2	0
CT	09.03.20	124			0	3
VC	09.03.20	50			1	1
EX	09.03.20	8			0	0
GA	09.03.20	22			2	0
MD	09.03.20	782			77	21
MC	09.03.20	9			0	0
NC	09.03.20	12			2	0
PV	09.03.20	195			5	6
RI	09.03.20	144			1	1
AN	10.03.20	90		32	3	0
AR	10.03.20	45		22	3	4
AS	10.03.20	32		12	2	0
IB	10.03.20	16		8	1	0
CN	10.03.20	37		10	1	0
CB	10.03.20	12		0	0	0
CM	10.03.20	71		0	5	0
CL	10.03.20	64		14	2	0
CT	10.03.20	156		0	0	3
VC	10.03.20	65		0	1	1
EX	10.03.20	9		2	1	1
GA	10.03.20	35		7	2	0
MD	10.03.20	1024		0	102	31
MC	10.03.20	11		4	0	0
NC	10.03.20	46		10	3	0
PV	10.03.20	225		102	15	6
RI	10.03.20	179		13	1	2
AN	11.03.20	115		50	4	0
AR	11.03.20	64		28	3	6
AS	11.03.20	47		12	2	1
IB	11.03.20	22		8	2	1
CN	11.03.20	51		15	3	0
CB	11.03.20	16		3	0	0
CM	11.03.20	115		39	9	1
CL	11.03.20	71		24	2	0
CT	11.03.20	260		0	0	4
VC	11.03.20	76		22	2	1
EX	11.03.20	19		2	1	1
GA	11.03.20	35		7	2	0
MD	11.03.20	1388		0	135	56
MC	11.03.20	26		5	1	0
NC	11.03.20	73		17	3	0
PV	11.03.20	346		146	18	11
RI	11.03.20	205		21	1	2
AN	12.03.20	219		92	8	0
AR	12.03.20	80		30	3	7
AS	12.03.20	67		16	2	1
IB	12.03.20	28		9	2	1
CN	12.03.20	70		15	3	0
CB	12.03.20	29		3	0	0
CM	12.03.20	194		78	10	5
CL	12.03.20	92		25	4	0
CT	12.03.20	316		0	25	6
VC	12.03.20	94		23	2	1
EX	12.03.20	39		3	1	1
GA	12.03.20	85		15	2	0
MD	12.03.20	1990		1304	180	81
ME	12.03.20	2		3	0	0
MC	12.03.20	35		8	2	0
NC	12.03.20	130		28	4	0
PV	12.03.20	417		179	20	14
RI	12.03.20	243		27	2	3
AN	13.03.20	269		92	8	2
AR	13.03.20	121		42	5	7
AS	13.03.20	92		16	2	1
IB	13.03.20	28		9	2	1
CN	13.03.20	90		15	6	1
CB	13.03.20	31		3	0	0
CM	13.03.20	289		78	10	6
CL	13.03.20	169		25	8	1
CT	13.03.20	509		0	33	6
VC	13.03.20	130		31	4	4
EX	13.03.20	66		3	1	2
GA	13.03.20	115		32	7	0
MD	13.03.20	2940		1518	180	86
ME	13.03.20	3		3	0	0
MC	13.03.20	47		8	2	0
NC	13.03.20	146		28	4	0
PV	13.03.20	521		179	22	14
RI	13.03.20	278		38	2	3
AN	14.03.20	437		92	8	6
AR	14.03.20	147		59	5	7
AS	14.03.20	137		16	3	1
IB	14.03.20	42		9	2	1
CN	14.03.20	109		15	6	1
CB	14.03.20	51		3	0	0
CM	14.03.20	401		78	10	10
CL	14.03.20	223		45	8	3
CT	14.03.20	715		0	33	8
CE	14.03.20	1		0	0	0
VC	14.03.20	409		31	4	5
EX	14.03.20	95		8	1	2
GA	14.03.20	195		32	8	2
MD	14.03.20	3544		2337	253	213
ME	14.03.20	8		4	0	0
MC	14.03.20	71		13	2	0
NC	14.03.20	183		34	4	0
PV	14.03.20	630		262	29	23
RI	14.03.20	300		58	7	3
AN	15.03.20	554		197	11	7
AR	15.03.20	174		64	7	11
AS	15.03.20	177		16	3	1
IB	15.03.20	73		21	4	1
CN	15.03.20	119		40	9	1
CB	15.03.20	58		18	2	0
CM	15.03.20	567		207	23	17
CL	15.03.20	292		45	8	6
CT	15.03.20	903		0	33	12
CE	15.03.20	1		0	0	0
VC	15.03.20	409		31	4	5
EX	15.03.20	111		9	1	2
GA	15.03.20	245		49	9	2
MD	15.03.20	4165		2337	253	213
ME	15.03.20	8		4	0	0
MC	15.03.20	77		13	2	0
NC	15.03.20	274		58	5	1
PV	15.03.20	630		262	29	23
RI	15.03.20	312		64	13	4
AN	16.03.20	683		229	13	11
AR	16.03.20	207		74	9	12
AS	16.03.20	193		34	5	1
IB	16.03.20	92		26	4	1
CN	16.03.20	148		56	13	2
CB	16.03.20	58		18	2	0
CM	16.03.20	567		207	23	17
CL	16.03.20	431		95	24	12
CT	16.03.20	1394		0	33	18
CE	16.03.20	1		0	0	0
VC	16.03.20	541		135	27	13
EX	16.03.20	153		18	2	3
GA	16.03.20	292		49	9	3
MD	16.03.20	4871		3710	340	355
ME	16.03.20	17		4	0	0
MC	16.03.20	97		18	3	0
NC	16.03.20	313		72	10	2
PV	16.03.20	765		309	33	36
RI	16.03.20	355		82	13	5
AN	17.03.20	859		319	21	19
AR	17.03.20	226		81	9	13
AS	17.03.20	242		45	5	1
IB	17.03.20	112		29	4	1
CN	17.03.20	181		73	17	3
CB	17.03.20	68		25	3	1
CM	17.03.20	675		277	29	28
CL	17.03.20	668		219	43	22
CT	17.03.20	1866		0	33	41
CE	17.03.20	1		0	0	0
VC	17.03.20	726		252	40	22
EX	17.03.20	194		27	3	6
GA	17.03.20	341		63	12	3
MD	17.03.20	5637		3778	491	390
ME	17.03.20	20		4	0	0
MC	17.03.20	122		22	4	0
NC	17.03.20	386		93	10	3
PV	17.03.20	973		353	37	40
RI	17.03.20	419		99	13	5
AN	18.03.20	1008		384	25	23
AR	18.03.20	281		101	14	15
AS	18.03.20	292		61	6	1
IB	18.03.20	169		31	7	2
CN	18.03.20	220		82	23	3
CB	18.03.20	83		40	4	1
CM	18.03.20	801		313	37	42
CL	18.03.20	868		281	54	29
CT	18.03.20	2702		0	33	55
CE	18.03.20	1		0	0	0
VC	18.03.20	921		274	52	24
EX	18.03.20	241		36	3	8
GA	18.03.20	453		100	15	4
MD	18.03.20	6777		5168	590	498
ME	18.03.20	23		4	0	0
MC	18.03.20	167		36	6	0
NC	18.03.20	482		132	11	4
