country	detected	healed	deceased	date
Bayern	1	0	0	27.01.20
Bayern	4	0	0	28.01.20
Bayern	4	0	0	29.01.20
Bayern	5	0	0	30.01.20
Bayern	7	0	0	31.01.20
Bayern	8	0	0	01.02.20
Bayern	8	0	0	02.02.20
Bayern	10	0	0	03.02.20
Bayern	10	0	0	04.02.20
Bayern	10	0	0	05.02.20
Bayern	11	0	0	05.02.20
Bayern	11	0	0	06.02.20
Bayern	12	0	0	07.02.20
Bayern	12	0	0	08.02.20
Bayern	12	0	0	09.02.20
Bayern	12	0	0	10.02.20
Bayern	14	0	0	11.02.20
Bayern	14	0	0	12.02.20
Bayern	14	1	0	13.02.20
Bayern	14	1	0	14.02.20
Bayern	14	1	0	15.02.20
Bayern	14	1	0	16.02.20
Bayern	14	7	0	17.02.20
Bayern	14	9	0	18.02.20
Bayern	14	10	0	19.02.20
Bayern	14	10	0	20.02.20
Bayern	14	11	0	21.02.20
Bayern	14	11	0	22.02.20
Bayern	14	11	0	23.02.20
Bayern	14	12	0	24.02.20
Bayern	14	13	0	25.02.20
Baden-Württemberg	1	0	0	25.02.20
Nordrhein-Westfalen	1	0	0	25.02.20
Bayern	14	13	0	26.02.20
Baden-Württemberg	3	0	0	26.02.20
Nordrhein-Westfalen	2	0	0	26.02.20
Bayern	14	14	0	27.02.20
Baden-Württemberg	6	0	0	27.02.20
Nordrhein-Westfalen	4	0	0	27.02.20
Nordrhein-Westfalen	25	0	0	28.02.20
Bayern	15	14	0	28.02.20
Baden-Württemberg	10	0	0	28.02.20
Hessen	2	0	0	28.02.20
Schleswig-Holstein	1	0	0	28.02.20
Nordrhein-Westfalen	30	0	0	29.02.20
Bayern	15	14	0	29.02.20
Baden-Württemberg	14	0	0	29.02.20
Hessen	5	0	0	29.02.20
Schleswig-Holstein	1	0	0	29.02.20
Rheinland-Pfalz	1	0	0	29.02.20
Nordrhein-Westfalen	66	0	0	01.03.20
Bayern	19	14	0	01.03.20
Baden-Württemberg	15	0	0	01.03.20
Hessen	10	0	0	01.03.20
Schleswig-Holstein	2	0	0	01.03.20
Rheinland-Pfalz	2	0	0	01.03.20
Niedersachsen	1	0	0	01.03.20
Hamburg	1	0	0	01.03.20
Bremen	1	0	0	01.03.20
Nordrhein-Westfalen	86	0	0	02.03.20
Bayern	25	14	0	02.03.20
Baden-Württemberg	19	0	0	02.03.20
Hessen	12	0	0	02.03.20
Schleswig-Holstein	2	0	0	02.03.20
Rheinland-Pfalz	2	0	0	02.03.20
Brandenburg	1	0	0	02.03.20
Bremen	1	0	0	02.03.20
Hamburg	1	0	0	02.03.20
Niedersachsen	1	0	0	02.03.20
Nordrhein-Westfalen	101	0	0	03.03.20
Bayern	35	14	0	03.03.20
Baden-Württemberg	26	0	0	03.03.20
Hessen	12	0	0	03.03.20
Berlin	3	0	0	03.03.20
Schleswig-Holstein	2	0	0	03.03.20
Rheinland-Pfalz	2	0	0	03.03.20
Hamburg	2	0	0	03.03.20
Thüringen	1	0	0	03.03.20
Sachsen	1	0	0	03.03.20
Niedersachsen	1	0	0	03.03.20
Bremen	1	0	0	03.03.20
Brandenburg	1	0	0	03.03.20
Nordrhein-Westfalen	115	0	0	04.03.20
Baden-Württemberg	50	0	0	04.03.20
Bayern	48	14	0	04.03.20
Hessen	12	0	0	04.03.20
Berlin	7	0	0	04.03.20
Niedersachsen	7	0	0	04.03.20
Rheinland-Pfalz	7	0	0	04.03.20
Mecklenburg-Vorpommern	4	0	0	04.03.20
Bremen	3	0	0	04.03.20
Hamburg	3	0	0	04.03.20
Schleswig-Holstein	2	0	0	04.03.20
Brandenburg	1	0	0	04.03.20
Saarland	1	0	0	04.03.20
Sachsen	1	0	0	04.03.20
Thüringen	1	0	0	04.03.20
Nordrhein-Westfalen	181	0	0	05.03.20
Baden-Württemberg	73	0	0	05.03.20
Bayern	70	14	0	05.03.20
Niedersachsen	18	0	0	05.03.20
Hessen	14	0	0	05.03.20
Berlin	13	0	0	05.03.20
Rheinland-Pfalz	8	0	0	05.03.20
Schleswig-Holstein	7	0	0	05.03.20
Hamburg	5	0	0	05.03.20
Mecklenburg-Vorpommern	4	0	0	05.03.20
Bremen	3	0	0	05.03.20
Brandenburg	1	0	0	05.03.20
Thüringen	1	0	0	05.03.20
Sachsen	1	0	0	05.03.20
Saarland	1	0	0	05.03.20
Nordrhein-Westfalen	329	0	0	06.03.20
Bayern	117	14	0	06.03.20
Baden-Württemberg	96	0	0	06.03.20
Berlin	19	0	0	06.03.20
Niedersachsen	18	0	0	06.03.20
Hessen	16	0	0	06.03.20
Hamburg	11	0	0	06.03.20
Rheinland-Pfalz	10	0	0	06.03.20
Schleswig-Holstein	7	0	0	06.03.20
Mecklenburg-Vorpommern	5	0	0	06.03.20
Bremen	4	0	0	06.03.20
Sachsen	2	0	0	06.03.20
Saarland	2	0	0	06.03.20
Brandenburg	2	0	0	06.03.20
Thüringen	1	0	0	06.03.20
Nordrhein-Westfalen	373	0	0	07.03.20
Baden-Württemberg	170	0	0	07.03.20
Bayern	134	14	0	07.03.20
Berlin	28	0	0	07.03.20
Niedersachsen	19	0	0	07.03.20
Hessen	17	0	0	07.03.20
Rheinland-Pfalz	13	0	0	07.03.20
Hamburg	13	0	0	07.03.20
Schleswig-Holstein	8	0	0	07.03.20
Mecklenburg-Vorpommern	5	0	0	07.03.20
Sachsen	4	0	0	07.03.20
Bremen	4	0	0	07.03.20
Saarland	3	0	0	07.03.20
Thüringen	2	0	0	07.03.20
Brandenburg	2	0	0	07.03.20
Nordrhein-Westfalen	398	0	0	08.03.20
Baden-Württemberg	182	0	0	08.03.20
Bayern	172	14	0	08.03.20
Berlin	40	0	0	08.03.20
Niedersachsen	21	0	0	08.03.20
Rheinland-Pfalz	19	0	0	08.03.20
Hessen	19	0	0	08.03.20
Hamburg	13	0	0	08.03.20
Saarland	9	0	0	08.03.20
Schleswig-Holstein	8	0	0	08.03.20
Mecklenburg-Vorpommern	8	0	0	08.03.20
Sachsen	4	0	0	08.03.20
Bremen	4	0	0	08.03.20
Brandenburg	4	0	0	08.03.20
Thüringen	2	0	0	08.03.20
Nordrhein-Westfalen	484	0	0	09.03.20
Bayern	256	14	0	09.03.20
Baden-Württemberg	204	0	0	09.03.20
Berlin	48	0	0	09.03.20
Niedersachsen	38	0	0	09.03.20
Hessen	26	0	0	09.03.20
Hamburg	17	0	0	09.03.20
Rheinland-Pfalz	17	0	0	09.03.20
Sachsen	12	0	0	09.03.20
Mecklenburg-Vorpommern	10	0	0	09.03.20
Schleswig-Holstein	9	0	0	09.03.20
Brandenburg	6	0	0	09.03.20
Saarland	6	0	0	09.03.20
Bremen	4	0	0	09.03.20
Thüringen	2	0	0	09.03.20
Nordrhein-Westfalen	648	0	2	10.03.20
Bayern	314	14	0	10.03.20
Baden-Württemberg	277	2	0	10.03.20
Niedersachsen	66	1	0	10.03.20
Berlin	58	0	0	10.03.20
Hessen	35	0	0	10.03.20
Hamburg	35	0	0	10.03.20
Rheinland-Pfalz	25	1	0	10.03.20
Sachsen	24	0	0	10.03.20
Bremen	22	0	0	10.03.20
Brandenburg	16	0	0	10.03.20
Mecklenburg-Vorpommern	13	0	0	10.03.20
Schleswig-Holstein	9	0	0	10.03.20
Thüringen	8	0	0	10.03.20
Sachsen-Anhalt	8	0	0	10.03.20
Saarland	7	0	0	10.03.20
Nordrhein-Westfalen	801	6	3	11.03.20
Bayern	366	14	0	11.03.20
Baden-Württemberg	335	2	0	11.03.20
Berlin	90	0	0	11.03.20
Niedersachsen	78	1	0	11.03.20
Hamburg	54	0	0	11.03.20
Hessen	48	0	0	11.03.20
Bremen	32	1	0	11.03.20
Rheinland-Pfalz	29	1	0	11.03.20
Schleswig-Holstein	27	0	0	11.03.20
Sachsen	26	0	0	11.03.20
Brandenburg	24	0	0	11.03.20
Mecklenburg-Vorpommern	17	0	0	11.03.20
Sachsen-Anhalt	15	0	0	11.03.20
Saarland	14	0	0	11.03.20
Thüringen	10	0	0	11.03.20
Nordrhein-Westfalen	1041	6	4	12.03.20
Bayern	500	14	1	12.03.20
Baden-Württemberg	454	2	1	12.03.20
Berlin	137	0	0	12.03.20
Niedersachsen	129	1	0	12.03.20
Hessen	99	0	0	12.03.20
Hamburg	88	0	0	12.03.20
Rheinland-Pfalz	52	1	0	12.03.20
Sachsen	49	0	0	12.03.20
Bremen	38	1	0	12.03.20
Schleswig-Holstein	31	0	0	12.03.20
Brandenburg	30	0	0	12.03.20
Saarland	29	0	0	12.03.20
Sachsen-Anhalt	27	0	0	12.03.20
Mecklenburg-Vorpommern	23	0	0	12.03.20
Thüringen	18	0	0	12.03.20
Nordrhein-Westfalen	1433	27	4	13.03.20
Baden-Württemberg	569	2	3	13.03.20
Bayern	558	14	1	13.03.20
Niedersachsen	230	1	0	13.03.20
Berlin	174	0	0	13.03.20
Hessen	148	0	0	13.03.20
Rheinland-Pfalz	102	1	0	13.03.20
Hamburg	99	0	0	13.03.20
Sachsen	83	0	0	13.03.20
Schleswig-Holstein	48	0	0	13.03.20
Brandenburg	44	0	0	13.03.20
Sachsen-Anhalt	42	0	0	13.03.20
Bremen	42	1	0	13.03.20
Saarland	40	0	0	13.03.20
Mecklenburg-Vorpommern	33	0	0	13.03.20
Thüringen	30	0	0	13.03.20
Nordrhein-Westfalen	1636	27	5	14.03.20
Baden-Württemberg	827	2	3	14.03.20
Bayern	681	14	1	14.03.20
Niedersachsen	253	1	0	14.03.20
Berlin	216	0	0	14.03.20
Hessen	203	0	0	14.03.20
Rheinland-Pfalz	162	1	0	14.03.20
Hamburg	158	0	0	14.03.20
Sachsen	99	0	0	14.03.20
Brandenburg	61	0	0	14.03.20
Schleswig-Holstein	60	0	0	14.03.20
Bremen	53	1	0	14.03.20
Thüringen	46	0	0	14.03.20
Sachsen-Anhalt	45	0	0	14.03.20
Mecklenburg-Vorpommern	45	0	0	14.03.20
Saarland	40	0	0	14.03.20
Nordrhein-Westfalen	2100	27	6	15.03.20
Baden-Württemberg	977	2	3	15.03.20
Bayern	886	14	4	15.03.20
Niedersachsen	287	1	0	15.03.20
Berlin	283	0	0	15.03.20
Hessen	282	0	0	15.03.20
Rheinland-Pfalz	200	1	0	15.03.20
Hamburg	196	0	0	15.03.20
Sachsen	130	0	0	15.03.20
Schleswig-Holstein	103	0	0	15.03.20
Brandenburg	84	0	0	15.03.20
Saarland	74	0	0	15.03.20
Bremen	56	1	0	15.03.20
Sachsen-Anhalt	54	0	0	15.03.20
Thüringen	51	0	0	15.03.20
Mecklenburg-Vorpommern	50	0	0	15.03.20
Nordrhein-Westfalen	2744	39	8	16.03.20
Baden-Württemberg	1105	7	3	16.03.20
Bayern	1067	14	5	16.03.20
Niedersachsen	391	1	0	16.03.20
Hessen	342	2	0	16.03.20
Berlin	332	0	0	16.03.20
Rheinland-Pfalz	325	1	0	16.03.20
Hamburg	260	1	1	16.03.20
Sachsen	152	0	0	16.03.20
Schleswig-Holstein	123	0	0	16.03.20
Brandenburg	94	0	0	16.03.20
Saarland	85	0	0	16.03.20
Sachsen-Anhalt	77	0	0	16.03.20
Thüringen	67	1	0	16.03.20
Bremen	57	1	0	16.03.20
Mecklenburg-Vorpommern	51	0	0	16.03.20
Nordrhein-Westfalen	3375	39	13	17.03.20
Baden-Württemberg	1641	7	6	17.03.20
Bayern	1352	14	5	17.03.20
Niedersachsen	563	1	0	17.03.20
Rheinland-Pfalz	435	1	0	17.03.20
Berlin	383	1	0	17.03.20
Hessen	381	2	1	17.03.20
Hamburg	312	1	1	17.03.20
Sachsen	247	0	0	17.03.20
Schleswig-Holstein	145	0	0	17.03.20
Brandenburg	114	1	0	17.03.20
Sachsen-Anhalt	105	0	0	17.03.20
Saarland	101	0	0	17.03.20
Thüringen	71	1	0	17.03.20
Mecklenburg-Vorpommern	69	0	0	17.03.20
Bremen	66	3	0	17.03.20
Nordrhein-Westfalen	4268	67	13	18.03.20
Baden-Württemberg	2184	8	8	18.03.20
Bayern	1798	14	5	18.03.20
Niedersachsen	740	1	0	18.03.20
Rheinland-Pfalz	603	1	0	18.03.20
Hessen	547	2	1	18.03.20
Berlin	519	6	0	18.03.20
Hamburg	414	1	1	18.03.20
Sachsen	296	0	0	18.03.20
Schleswig-Holstein	196	0	0	18.03.20
Brandenburg	171	1	0	18.03.20
Saarland	169	0	0	18.03.20
Sachsen-Anhalt	133	0	0	18.03.20
Thüringen	114	1	0	18.03.20
Mecklenburg-Vorpommern	100	0	0	18.03.20
Bremen	75	3	0	18.03.20
Nordrhein-Westfalen	4971	75	17	19.03.20
Baden-Württemberg	2748	8	11	19.03.20
Bayern	2282	14	13	19.03.20
Niedersachsen	981	1	0	19.03.20
Rheinland-Pfalz	749	1	0	19.03.20
Hessen	740	3	1	19.03.20
Berlin	688	6	0	19.03.20
Hamburg	506	1	1	19.03.20
Sachsen	389	0	0	19.03.20
Schleswig-Holstein	253	0	1	19.03.20
Saarland	217	0	0	19.03.20
Brandenburg	204	1	0	19.03.20
Sachsen-Anhalt	174	0	0	19.03.20
Thüringen	166	2	0	19.03.20
